close,max,min,label
6.6091,6.6574,6.6091,6.6091
6.6091,6.6574,6.6091,6.573
6.573,6.6574,6.573,6.573
6.573,6.6254,6.573,6.5511
6.5511,6.6091,6.5511,6.5511
6.5511,6.6091,6.5511,6.6008
6.6008,6.6008,6.5511,6.6008
6.6008,6.6008,6.5511,6.7525
6.7525,6.7525,6.5511,6.9292
6.9292,6.9292,6.5511,6.9292
6.9292,6.9292,6.6008,7.0179
7.0179,7.0179,6.6008,7.0179
7.0179,7.0179,6.7525,7.3652
7.3652,7.3652,6.9292,7.3652
7.3652,7.3652,6.9292,7.3652
7.3652,7.3652,7.0179,7.6942
7.6942,7.6942,7.0179,8.0109
8.0109,8.0109,7.3652,8.0109
8.0109,8.0109,7.3652,8.2788
8.2788,8.2788,7.3652,8.2788
8.2788,8.2788,7.6942,8.3916
8.3916,8.3916,8.0109,8.3916
8.3916,8.3916,8.0109,8.5005
8.5005,8.5005,8.2788,8.5374
8.5374,8.5374,8.2788,8.5304
8.5304,8.5374,8.3916,8.5304
8.5304,8.5374,8.3916,8.5304
8.5304,8.5374,8.5005,8.5473
8.5473,8.5473,8.5304,8.5473
8.5473,8.5473,8.5304,8.5162
8.5162,8.5473,8.5162,8.6929
8.6929,8.6929,8.5162,8.6929
8.6929,8.6929,8.5162,8.8354
8.8354,8.8354,8.5162,8.8354
8.8354,8.8354,8.5162,8.8421
8.8421,8.8421,8.6929,8.8404
8.8404,8.8421,8.6929,9.0109
9.0109,9.0109,8.8354,9.0109
9.0109,9.0109,8.8354,9.0109
9.0109,9.0109,8.8404,0
0,9.0109,0,0
0,9.0109,0,0
0,9.0109,0,9.2098
9.2098,9.2098,0,9.2098
9.2098,9.2098,0,9.2098
9.2098,9.2098,0,9.0756
9.0756,9.2098,0,8.8372
8.8372,9.2098,8.8372,8.8372
8.8372,9.2098,8.8372,8.8372
8.8372,9.2098,8.8372,8.6794
8.6794,9.0756,8.6794,8.6794
8.6794,8.8372,8.6794,8.5848
8.5848,8.8372,8.5848,8.4684
8.4684,8.8372,8.4684,8.4684
8.4684,8.6794,8.4684,8.4684
8.4684,8.6794,8.4684,8.2352
8.2352,8.5848,8.2352,7.942
7.942,8.4684,7.942,7.942
7.942,8.4684,7.942,7.8879
7.8879,8.4684,7.8879,7.7529
7.7529,8.2352,7.7529,7.7529
7.7529,7.942,7.7529,7.6346
7.6346,7.942,7.6346,7.6346
7.6346,7.8879,7.6346,7.9892
7.9892,7.9892,7.6346,7.9892
7.9892,7.9892,7.6346,8.1184
8.1184,8.1184,7.6346,7.9779
7.9779,8.1184,7.6346,7.9779
7.9779,8.1184,7.9779,7.9779
7.9779,8.1184,7.9779,7.5515
7.5515,8.1184,7.5515,7.6628
7.6628,7.9779,7.5515,6.7287
6.7287,7.9779,6.7287,5.9952
5.9952,7.9779,5.9952,5.9952
5.9952,7.6628,5.9952,5.9952
5.9952,7.6628,5.9952,5.4991
5.4991,6.7287,5.4991,5.4991
5.4991,5.9952,5.4991,5.2829
5.2829,5.9952,5.2829,5.4549
5.4549,5.9952,5.2829,5.4549
5.4549,5.4991,5.2829,5.8366
5.8366,5.8366,5.2829,5.8366
5.8366,5.8366,5.2829,5.8743
5.8743,5.8743,5.4549,5.8743
5.8743,5.8743,5.4549,5.8743
5.8743,5.8743,5.8366,6.0042
6.0042,6.0042,5.8366,6.0042
6.0042,6.0042,5.8743,0
0,6.0042,0,0
0,6.0042,0,0
0,6.0042,0,5.9471
5.9471,6.0042,0,5.9471
5.9471,5.9471,0,5.9471
5.9471,5.9471,0,5.6623
5.6623,5.9471,0,5.2878
5.2878,5.9471,5.2878,5.2878
5.2878,5.9471,5.2878,5.2878
5.2878,5.9471,5.2878,4.6936
4.6936,5.6623,4.6936,4.0614
4.0614,5.2878,4.0614,4.0614
4.0614,5.2878,4.0614,3.4474
3.4474,5.2878,3.4474,3.4474
3.4474,4.6936,3.4474,3.347
3.347,4.0614,3.347,3.347
3.347,4.0614,3.347,3.4637
3.4637,3.4637,3.347,3.4637
3.4637,3.4637,3.347,3.2812
3.2812,3.4637,3.2812,3.2812
3.2812,3.4637,3.2812,2.8418
2.8418,3.4637,2.8418,2.8418
2.8418,3.4637,2.8418,2.8528
2.8528,3.2812,2.8418,2.8528
2.8528,3.2812,2.8418,3.0749
3.0749,3.0749,2.8418,3.0749
3.0749,3.0749,2.8418,3.0935
3.0935,3.0935,2.8528,3.0935
3.0935,3.0935,2.8528,2.8729
2.8729,3.0935,2.8729,2.8729
2.8729,3.0935,2.8729,2.9103
2.9103,3.0935,2.8729,2.6683
2.6683,3.0935,2.6683,2.6683
2.6683,2.9103,2.6683,2.4146
2.4146,2.9103,2.4146,2.1892
2.1892,2.9103,2.1892,2.1892
2.1892,2.6683,2.1892,2.1892
2.1892,2.6683,2.1892,1.9998
1.9998,2.4146,1.9998,1.8899
1.8899,2.1892,1.8899,1.8899
1.8899,2.1892,1.8899,1.8899
1.8899,2.1892,1.8899,1.9134
1.9134,1.9998,1.8899,1.7583
1.7583,1.9134,1.7583,1.7583
1.7583,1.9134,1.7583,1.7583
1.7583,1.9134,1.7583,1.5853
1.5853,1.9134,1.5853,1.5853
1.5853,1.7583,1.5853,0
0,1.7583,0,0
0,1.7583,0,0
0,1.5853,0,1.3628
1.3628,1.5853,0,1.3628
1.3628,1.3628,0,1.3631
1.3631,1.3631,0,1.3631
1.3631,1.3631,0,1.4407
1.4407,1.4407,1.3628,1.4475
1.4475,1.4475,1.3628,1.4511
1.4511,1.4511,1.3631,1.4511
1.4511,1.4511,1.3631,1.4791
1.4791,1.4791,1.4407,1.4791
1.4791,1.4791,1.4475,1.4791
1.4791,1.4791,1.4511,1.5083
1.5083,1.5083,1.4511,1.5744
1.5744,1.5744,1.4791,1.5744
1.5744,1.5744,1.4791,1.5744
1.5744,1.5744,1.4791,1.6783
1.6783,1.6783,1.5083,1.7365
1.7365,1.7365,1.5744,1.7365
1.7365,1.7365,1.5744,1.7365
1.7365,1.7365,1.5744,1.8426
1.8426,1.8426,1.6783,2.039
2.039,2.039,1.7365,2.039
2.039,2.039,1.7365,2.039
2.039,2.039,1.7365,2.2803
2.2803,2.2803,1.8426,2.3134
2.3134,2.3134,2.039,2.3134
2.3134,2.3134,2.039,2.5086
2.5086,2.5086,2.039,2.5086
2.5086,2.5086,2.2803,2.5216
2.5216,2.5216,2.3134,2.6983
2.6983,2.6983,2.3134,2.6983
2.6983,2.6983,2.5086,2.9492
2.9492,2.9492,2.5086,2.9492
2.9492,2.9492,2.5216,3.2117
3.2117,3.2117,2.6983,3.4484
3.4484,3.4484,2.6983,3.4484
3.4484,3.4484,2.9492,3.4484
3.4484,3.4484,2.9492,3.5688
3.5688,3.5688,3.2117,3.7294
